Pick,Available Rank,Player,Position,Team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,position_rank,tier,adp,aav,uncertainty,injury_status,Flex Rank,Pts Per Game,ADP Pressure,Team
0.2,,Justin Jefferson,WR,MIN,219,33.4,10.5,189,249,121,107,129,2,5,3,1,1,3.03,52.6,90,Q,2,12.9,,
0.1,,Christian McCaffrey,RB,SF,245,20.3,13.7,205,277,133,113,144,1,4,1,1,1,3.62,52.3,24,NA,1,14.4,,
0.08,,Ja'Marr Chase,WR,CIN,208,10.3,2.85,183,244,110,102,124,8,7,6,2,1,5.16,48.1,5,NA,7,12.2,,
0.3,,Austin Ekeler,RB,LAC,231,16,3.19,207,247,119,115,114,5,3,9,3,1,6.64,50,19,NA,4,13.6,,
0.14,,Travis Kelce,TE,KC,180,9.43,43.4,171,201,118,127,127,6,2,4,1,1,8.59,46,3,Q,5,10.6,,
1,,Bijan Robinson,RB,ATL,205,20.7,14.9,183,239,93.8,91,106,17,15,15,9,4,10.3,67.1,29,NA,15,12.1,1,Jason
0.01,,Cooper Kupp,WR,LAR,205,24.3,1.84,183,228,107,101,108,11,8,14,3,1,10.9,41.5,70,Q,9,12.1,,
0.16,,Tyreek Hill,WR,MIA,203,17.3,11.2,175,223,106,93.1,103,12,14,16,4,2,11.2,43.7,35,NA,10,11.9,,
0.02,,Saquon Barkley,RB,NYG,211,10.7,6.02,187,252,99.8,94.9,118,15,13,7,8,3,11.2,42.3,1,Q,13,12.4,,
0.03,,Jonathan Taylor,RB,IND,216,15.1,4.29,191,244,104,99.4,110,14,10,12,7,2,11.8,41.6,6,NA,12,12.7,,
0.29,,Nick Chubb,RB,CLE,231,34.1,0.382,192,265,119,99.5,132,4,9,2,2,1,13.4,40.1,67,NA,3,13.6,,
0.04,,Patrick Mahomes,QB,KC,503,3.85,12.2,490,529,120,133,116,3,1,8,1,1,16.4,39.2,1,Q,999,29.6,,
0.11,,CeeDee Lamb,WR,DAL,190,20.4,8.63,160,213,91.8,78,93.1,18,18,20,6,4,16.7,35.7,54,NA,16,11.2,,
0.25,,Stefon Diggs,WR,BUF,181,20,4.51,158,209,83.1,75.8,88.3,19,19,23,7,4,16.8,37.6,49,NA,17,10.6,,
2,,Lamar Jackson,QB,BAL,418,18.4,21.7,372,447,34.3,15.7,33.1,67,98,74,6,5,36.9,26.4,23,Q,999,24.6,12,Ace
0.18,,Josh Jacobs,RB,LVR,219,20.3,2.37,189,245,108,96.6,112,9,12,11,5,2,17.4,32.8,40,NA,8,12.9,,
0.06,,Derrick Henry,RB,TEN,227,19.9,7.98,196,243,116,104,110,7,6,13,4,2,17.8,37.6,37,NA,6,13.4,,
0.13,,Davante Adams,WR,LVR,192,14.9,2.58,168,212,94.3,86.5,91.6,16,17,21,5,3,18.3,36.6,24,NA,14,11.3,,
0.07,,Tony Pollard,RB,DAL,217,25.1,1.31,181,245,105,89,112,13,16,10,6,2,19.1,34.4,51,NA,11,12.8,,
0.28,,Josh Allen,QB,BUF,491,42,27.7,454,538,107,97,125,10,11,5,2,2,19.4,36.5,61,NA,999,28.9,,
0.09,,Jalen Hurts,QB,PHI,463,30.5,9.35,429,487,79.7,71.9,73.8,20,23,32,3,3,22.4,36.2,52,NA,999,27.2,,
0.27,,Garrett Wilson,WR,NYJ,160,10.4,5.22,140,206,61.9,58.7,85.9,35,39,25,12,7,23.3,32,11,NA,31,9.4,,
0,DL1,Will Anderson,DL,HOU,75.8,8.6,0.1,70.6,81,0.85,1.21,-7.31,148,149,210,7,3,23.7,NA,80,NA,999,4.5,,
0.24,,Amon-Ra St. Brown,WR,DET,162,16.8,1.81,146,176,63.7,63.9,55.9,33,31,45,11,6,24.7,29.6,37,NA,29,9.5,,
3,,Jahmyr Gibbs,RB,DET,165,25.4,4.21,140,184,53.2,47.8,51.2,43,48,51,21,7,46,37.2,62,NA,39,9.7,19,Joe
0.17,,Breece Hall,RB,NYJ,180,33.6,5.08,144,220,68.6,51.6,87,31,45,24,16,5,25.6,27.1,84,NA,27,10.6,,
4,,Travis Etienne,RB,JAC,181,7.74,1.3,163,210,69.9,70.6,77,29,24,29,15,5,30.4,25.4,5,NA,25,10.6,6,Face
0.19,,Najee Harris,RB,PIT,190,31.4,4.26,158,214,78.8,66,80.7,21,27,26,10,4,27.8,27.2,79,NA,18,11.2,,
5,,Dameon Pierce,RB,HOU,167,13.3,1.85,154,197,55.1,62,64.1,42,33,36,20,6,49.2,15.5,13,NA,38,9.8,21,Toast
6,,Justin Herbert,QB,LAC,424,19.9,6.63,399,470,41,42.6,56.6,60,55,43,5,4,45.1,24.3,26,NA,999,24.9,17,Stephen
7,,Rhamondre Stevenson,RB,NE,184,22.9,0.74,160,222,72.5,68.4,88.5,26,25,22,13,5,29.5,28.1,48,NA,23,10.8,5,Chris
0.05,,Joe Burrow,QB,CIN,454,16.7,29.4,422,480,70.4,65.2,67,28,28,35,4,4,32.4,28.1,16,NA,999,26.7,,
8,,A.J. Brown,WR,PHI,176,29.6,9.3,148,216,78.6,66.7,95.5,22,26,17,8,5,17.3,33.7,83,NA,19,10.4,2,Chris
9,,DeVonta Smith,WR,PHI,147,8.82,3.48,138,175,49.6,56.3,54.3,47,40,49,18,8,33.4,22.3,2,NA,43,8.6,8,Kennedy
10,,Chris Olave,WR,NO,148,22.6,0.515,128,175,50.3,46.7,55.2,45,49,48,16,8,33.9,24.3,68,Q,41,8.7,9,Chad
11,,James Cook,RB,BUF,137,21,13.9,120,154,25.5,27.8,20.9,83,83,92,33,10,87.4,8.86,60,NA,76,8.1,53,Chad
12,,Amari Cooper,WR,CLE,155,9.93,0.725,137,176,56.7,55.4,55.4,38,42,47,13,7,50,18.9,10,NA,34,9.1,23,Kennedy
0.12,,Aaron Jones,RB,GB,183,16.6,1.92,166,212,71.8,74,78.8,27,22,28,14,5,40.7,26,30,Q,24,10.8,,
13,,Jaylen Waddle,WR,MIA,167,15.9,2.7,146,183,69.3,64.2,62.8,30,30,38,9,6,25.1,27.7,29,NA,26,9.8,3,Tye
0.15,,Joe Mixon,RB,CIN,186,12.6,1.75,168,227,74.3,75.5,93.4,25,20,18,12,5,42.2,24.6,21,NA,22,10.9,,
14,,Kenneth Walker III,RB,SEA,186,27.8,0.308,156,213,74.6,63.8,79.5,23,32,27,11,5,35.1,21.6,75,NA,20,10.9,11,Tye
15,,Mark Andrews,TE,BAL,136,14.7,14.4,120,167,74.5,75.1,93.3,24,21,19,2,2,31.1,25.2,42,NA,21,8.0,7,Stephen
0.23,,Justin Fields,QB,CHI,383,15,1.21,363,411,-0.371,5.98,-2.85,158,126,179,11,6,43.8,22.8,19,NA,999,22.5,,
16,,Cam Akers,RB,LAR,159,11.6,4.85,135,184,47.5,43.1,50.6,50,53,52,24,7,58,15.4,14,NA,46,9.4,29,Toast
