Pick,Available Rank,player,pos,team,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,ecr,sd_ecr,risk,injury_status,Flex Rank
0.06,,Christian McCaffrey,RB,CAR,559,60.9,36.7,482,652,327,315,363,1,1,1,2,NA,1.04,0.19,4.7,NA,1
20,,Josh Allen,QB,BUF,551,18.8,2.51,523,568,128,145,78,20,16,39,2,NA,42.2,10.1,3.43,NA,999
0.03,,Patrick Mahomes,QB,KC,549,28.3,14.2,512,593,125,134,103,22,22,32,3,NA,25.8,11,3.67,NA,999
27,,Lamar Jackson,QB,BAL,535,18.6,4.8,503,554,111,124,64.1,28,23,46,4,NA,54.8,11,3.47,NA,999
0.09,,Kyler Murray,QB,ARI,530,30.7,29.1,493,582,106,115,92.1,30,28,34,5,NA,51.6,9.27,3.64,NA,999
0.1,,Dalvin Cook,RB,MIN,523,46.8,36.4,468,603,290,301,314,2,2,2,3,NA,2.22,0.73,3.61,NA,2
39,,Russell Wilson,QB,SEA,501,18,13.7,478,527,77,99.4,36.9,37,34,59,6,NA,70.2,8.38,3.32,NA,999
35,,Aaron Rodgers,QB,GB,487,18.1,1.51,471,516,63.3,92.4,26.1,41,35,67,7,NA,71.5,9.16,3.36,NA,999
0.07,,Derrick Henry,RB,TEN,486,59,31.1,402,582,254,235,293,3,3,3,4,NA,8.15,6.75,5.1,NA,3
0.04,,Dak Prescott,QB,DAL,485,26.2,3.36,438,514,61.8,59.7,23.5,42,47,71,8,NA,59.7,9.17,3.54,Q,999
31,,Justin Herbert,QB,LAC,482,26.6,21.5,445,502,58.5,66.2,12.3,43,43,86,9,NA,76.9,8.72,3.52,NA,999
71,,Tom Brady,QB,TB,461,25.1,1.68,425,501,36.9,46.9,10.7,54,58,88,10,NA,90.3,10.9,3.6,NA,999
74,,Jalen Hurts,QB,PHI,459,28.2,8.95,409,490,35.2,30.7,0,59,70,121,11,NA,94.8,11.7,3.71,Q,999
0.13,,Alvin Kamara,RB,NO,455,44.7,12.9,392,528,222,225,239,4,4,5,5,NA,3.66,1.35,3.49,NA,4
45,,Ryan Tannehill,QB,TEN,450,23.6,26.3,424,486,26.3,45.8,-4.58,67,60,138,12,NA,89.5,10,3.52,NA,999
0.05,,Ezekiel Elliott,RB,DAL,442,73.9,13.9,357,580,209,190,291,5,8,4,6,NA,6.13,2.55,5.95,NA,5
0.14,,Saquon Barkley,RB,NYG,428,40.2,9.05,387,488,196,220,199,6,5,7,7,NA,10.4,6.58,3.56,Q,6
0,QB1,Kirk Cousins,QB,MIN,424,19.7,8.42,405,460,0,26.6,-30.5,118,76,289,13,NA,125,15.9,3.74,NA,999
0.19,,Aaron Jones,RB,GB,419,33.7,4.36,365,457,187,198,168,7,7,13,8,NA,9.01,3.75,2.81,NA,7
