Pick,Available Rank,Player,Position,Team,Mean,Floor,Ceiling,SD,Risk,VOR,Drop Off,Tier,ADP,AAV,injury_status,pos_rank,tier,ecr,sd_ecr,risk,injury_status,Flex Rank
0.08,,Jonathan Taylor,RB,IND,300,248,330,25.4,44,196,28,1,1.25,57.9,NA,1,NA,85,17.6,5.37,NA,1
0.1,,Austin Ekeler,RB,LAC,249,229,279,12.8,8,145,5.28,2,4.29,53.2,NA,3,NA,90.3,10.9,3.6,NA,2
0.2,,Christian McCaffrey,RB,CAR,244,223,310,11.6,6,140,9.27,3,4.4,58.6,NA,4,NA,59.7,9.17,3.54,Q,3
0.07,,Derrick Henry,RB,TEN,272,234,310,38.4,87,168,22.8,2,4.64,55.8,NA,2,NA,41.2,8.75,3.75,Q,4
0.06,,Cooper Kupp,WR,LAR,238,220,276,6.75,3,132,23,1,5.52,48.2,NA,1,NA,6.13,2.55,5.95,NA,5
0.3,,Justin Jefferson,WR,MIN,215,202,234,5.83,2,109,1.81,1,6.91,50.1,NA,2,NA,88.6,16.5,6,NA,6
0.04,,Dalvin Cook,RB,MIN,234,202,254,14.6,10,131,1.67,3,7.25,51.4,NA,5,NA,10.4,6.58,3.56,Q,7
0.05,,Najee Harris,RB,PIT,221,187,253,20.6,33,117,6.43,4,8.38,47.2,NA,7,NA,152,41.2,8.62,NA,8
0.01,,Ja'Marr Chase,WR,CIN,209,198,242,5.29,1,104,11.8,2,10.1,46.1,NA,4,4,NA,NA,2.77,NA,9
0.02,,Joe Mixon,RB,CIN,233,212,249,15.3,17,129,11.9,4,11.5,47.8,NA,6,3,26.3,7.06,3.85,NA,10
4,,Davante Adams,WR,LVR,197,175,218,12.5,11,92,10.4,2,14.5,44,NA,5,NA,30.6,6.81,5.36,NA,11
0.12,,Stefon Diggs,WR,BUF,186,162,203,18.5,29,81,6.96,3,15.4,41,NA,7,4,55.6,8.66,1.63,Q,12
0.25,,Travis Kelce,TE,KC,184,172,210,5.49,1,127,15.2,1,15.4,41.1,NA,1,2,NA,NA,3.27,NA,13
0.15,,Nick Chubb,RB,CLE,214,178,256,30.4,73,110,9.73,5,15.5,42.2,NA,9,NA,56.4,9.88,4.39,NA,14
0.09,,D'Andre Swift,RB,DET,192,159,236,22,48,88.3,4.66,6,16.9,38.8,NA,16,NA,104,16.3,3.86,NA,15
1,,Alvin Kamara,RB,NO,214,196,236,9.86,11,111,0.236,4,18,40.4,NA,8,NA,66.4,11,5.46,Q,16
0.03,,Aaron Jones,RB,GB,201,175,223,25.4,65,96.8,4.73,5,18.1,39.6,NA,13,NA,97.8,17,3.99,NA,17
0.14,,Josh Allen,QB,BUF,515,499,538,18.4,6,89.7,21.8,1,18.5,37.2,NA,1,NA,13.4,2.35,2.4,NA,999
0.29,,Deebo Samuel,WR,SF,213,184,230,24.2,43,108,3.78,1,18.5,34,NA,3,NA,212,41.2,7.56,NA,18
0.16,,CeeDee Lamb,WR,DAL,187,150,210,18.2,27,81.5,0.549,2,20.6,35,Q,6,5,82.2,15.6,2.42,NA,19
3,,Saquon Barkley,RB,NYG,204,182,227,22,46,101,1.36,5,22,40.4,NA,10,NA,27,7.44,3.42,NA,20
0.24,,Javonte Williams,RB,DEN,196,187,225,3.39,1,92.1,0.765,5,22.8,36.1,NA,14,NA,22,7.81,2.48,NA,21
9,,Mark Andrews,TE,BAL,169,162,190,7.34,10,111,36.9,2,24.1,30.1,NA,2,NA,69.5,14.2,3.78,NA,22
0.17,,Tyreek Hill,WR,MIA,175,161,196,12.2,13,69.6,5.43,4,24.5,33.4,NA,9,3,NA,NA,2.96,NA,23
2,,Leonard Fournette,RB,TB,202,194,220,3.15,2,98.5,1.71,5,24.9,36.7,NA,12,NA,24.2,9.32,2.95,NA,24
14,,Mike Evans,WR,TB,180,167,197,10,5,74,4.45,3,27,31.5,Q,8,NA,1.04,0.19,4.7,NA,25
0.26,,Ezekiel Elliott,RB,DAL,195,171,221,23.2,57,91.3,2.99,6,29.3,32.5,NA,15,NA,71.5,9.16,3.36,NA,26
