Tm,G,Rushing Att,Rushing Yds,Rushing TD,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Fantasy FantPt,Fantasy DKPt,Fantasy FDPt,Fantasy per Game FantPt,Fantasy per Game DKPt,Fantasy per Game FDPt
Carolina Panthers,17,486,2520,18,88,74,606,3,440.60,545.6,477.6,25.9,32.1,28.1
Jacksonville Jaguars,17,407,1779,16,112,88,700,4,365.90,469.9,409.9,21.5,27.6,24.1
New England Patriots,17,426,1972,15,72,55,401,6,359.40,434.3,386.8,21.1,25.5,22.8
Chicago Bears,17,413,2037,18,87,70,547,0,358.60,444.4,393.4,21.1,26.1,23.1
Tennessee Titans,17,403,1756,15,69,56,401,7,354.12,421.8,381.8,20.8,24.8,22.5
San Francisco 49ers,17,406,1744,18,92,81,624,2,352.80,451.8,393.3,20.8,26.6,23.1
New Orleans Saints,17,386,1870,18,89,66,489,1,350.90,434.9,382.9,20.6,25.6,22.5
New York Giants,17,421,1891,14,100,81,647,2,344.10,445.8,384.3,20.2,26.2,22.6
Arizona Cardinals,17,383,1796,12,95,79,646,4,336.70,432.2,375.7,19.8,25.4,22.1
Buffalo Bills,17,367,1629,10,118,92,750,6,332.00,445.9,387.9,19.5,26.2,22.8
Indianapolis Colts,17,437,1821,14,102,80,588,1,326.90,421.9,366.9,19.2,24.8,21.6
Washington Commanders,17,395,1935,16,62,48,387,1,326.20,393.2,350.2,19.2,23.1,20.6
Dallas Cowboys,17,366,1609,15,85,69,650,2,325.90,407.9,360.4,19.2,24.0,21.2
Cincinnati Bengals,17,359,1529,16,86,75,530,1,302.40,391.9,339.4,17.8,23.1,20.0
Las Vegas Raiders,17,379,1642,11,89,72,478,4,300.40,388.0,336.0,17.7,22.8,19.8
Miami Dolphins,17,335,1467,12,98,70,570,4,299.70,371.7,334.7,17.6,21.9,19.7
Seattle Seahawks,17,371,1721,9,99,78,624,2,294.60,391.5,339.5,17.3,23.0,20.0
Green Bay Packers,17,343,1399,11,117,91,686,4,292.50,398.5,338.0,17.2,23.4,19.9
Los Angeles Rams,17,382,1725,9,80,70,582,1,290.70,369.7,325.7,17.1,21.7,19.2
New York Jets,17,412,1673,12,77,62,477,0,288.30,364.0,316.0,17.0,21.4,18.6
Denver Broncos,17,344,1329,7,100,84,641,6,275.10,369.0,317.0,16.2,21.7,18.6
Cleveland Browns,17,360,1481,15,68,54,422,0,272.50,333.3,299.3,16.0,19.6,17.6
Pittsburgh Steelers,17,346,1420,12,90,73,557,1,269.70,354.7,306.2,15.9,20.9,18.0
Atlanta Falcons,17,330,1447,6,113,97,588,6,269.50,370.5,318.0,15.9,21.8,18.7
Minnesota Vikings,17,325,1346,11,98,72,464,3,263.00,346.0,299.0,15.5,20.4,17.6
Detroit Lions,17,279,1167,12,71,61,592,2,259.90,326.9,290.4,15.3,19.2,17.1
Houston Texans,17,373,1466,8,85,64,476,2,254.50,330.2,286.2,15.0,19.4,16.8
Tampa Bay Buccaneers,17,293,1238,7,104,85,661,4,250.10,343.9,292.4,14.7,20.2,17.2
Baltimore Ravens,17,314,1085,8,109,80,674,4,248.00,331.9,287.9,14.6,19.5,16.9
Los Angeles Chargers,17,342,1576,4,120,85,481,3,239.70,340.7,282.2,14.1,20.0,16.6
Kansas City Chiefs,17,316,1197,9,88,61,413,0,215.10,277.0,245.5,12.7,16.3,14.4
Philadelphia Eagles,17,333,1357,5,92,73,473,0,205.40,286.0,241.5,12.1,16.8,14.2
