Rk,Player,Age,Team,Pos,G,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving 1D,Receiving YBC,Receiving YBC/R,Receiving YAC,Receiving YAC/R,Receiving ADOT,Receiving BrkTkl,Receiving Rec/Br,Receiving Drop,Receiving Drop%,Receiving Int,Receiving Rat,Awards,-additional -9999
18,Davante Adams,32,2TM,WR,14,14,141,85,1063,49,590,6.9,473,5.6,8.2,7,12.1,6,4.3,3,93.8,,AdamDa01
61,DeAndre Hopkins,32,2TM,WR,16,8,80,56,610,35,501,8.9,109,1.9,10.4,3,18.7,2,2.5,2,102.6,,HopkDe00
99,Amari Cooper,30,2TM,WR,14,10,85,44,547,25,436,9.9,111,2.5,12.3,1,44.0,12,14.1,2,77.9,,CoopAm00
143,Diontae Johnson,28,3TM,WR,12,8,67,33,375,21,284,8.6,91,2.8,10.9,1,33.0,3,4.5,5,50.3,,JohnDi01
196,Mike Williams,30,2TM,WR,18,5,34,21,298,14,263,12.5,35,1.7,15.2,0,,2,5.9,2,75.4,,WillMi07
215,Marquez Valdes-Scantling,30,2TM,WR,14,8,44,19,411,14,268,14.1,143,7.5,17.4,1,19.0,2,4.5,1,97.8,,ValdMa00
224,Jonathan Mingo,23,2TM,WR,17,6,42,17,167,6,100,5.9,67,3.9,10.5,1,17.0,2,4.8,1,42.5,,MingJo00
240,Cam Akers,25,2TM,RB,17,2,18,14,68,4,-15,-1.1,83,5.9,-1.5,0,,0,0.0,0,122.0,AP CPoY-19,AkerCa00
246,Josh Reynolds,29,2TM,WR,9,2,24,13,194,8,159,12.2,35,2.7,11.0,0,,0,0.0,0,94.8,,ReynJo00
279,Khalil Herbert,26,2TM,RB,14,1,11,10,25,0,-19,-1.9,44,4.4,-2.1,0,,1,9.1,0,79.2,,HerbKh00
474,Andrew Beck,28,2TM,FB,4,0,2,0,0,0,0,,0,,10.5,0,,0,0.0,0,39.6,,BeckAn01
1,Ja'Marr Chase,24,CIN,WR,17,16,175,127,1708,75,921,7.3,787,6.2,8.7,11,11.5,9,5.1,7,118.9,PBAP-1AP MVP-8AP OPoY-3,ChasJa00
2,Amon-Ra St. Brown,25,DET,WR,17,17,141,115,1263,73,851,7.4,412,3.6,7.7,3,38.3,4,2.8,1,129.4,PBAP-1AP OPoY-11,StxxAm00
3,Brock Bowers,22,LVR,TE,17,16,153,112,1194,61,598,5.3,596,5.3,6.1,6,18.7,6,3.9,5,92.9,PBAP-1AP ORoY-2,BoweBr01
4,Trey McBride,25,ARI,TE,16,16,147,111,1146,63,633,5.7,513,4.6,6.1,5,22.2,3,2.0,1,99.2,PB,McBrTr01
5,Malik Nabers,21,NYG,WR,15,13,170,109,1204,55,742,6.8,462,4.2,9.1,8,13.6,9,5.3,2,93.8,PBAP ORoY-5,NabeMa00
6,Justin Jefferson,25,MIN,WR,17,17,154,103,1533,62,1046,10.2,487,4.7,10.9,5,20.6,5,3.2,5,107.4,PBAP-1AP OPoY-7,JeffJu00
7,CeeDee Lamb,25,DAL,WR,15,15,152,101,1194,54,657,6.5,537,5.3,7.6,11,9.2,7,4.6,6,86.9,PBAP-2,LambCe00
8,Garrett Wilson,24,NYJ,WR,17,17,154,101,1104,60,662,6.6,442,4.4,9.1,7,14.4,7,4.5,5,88.2,,WilsGa00
9,Drake London,23,ATL,WR,17,17,158,100,1271,67,944,9.4,327,3.3,10.9,6,16.7,5,3.2,8,86.2,,LondDr00
10,Jaxon Smith-Njigba,22,SEA,WR,17,16,137,100,1130,57,653,6.5,477,4.8,8.7,4,25.0,5,3.6,4,99.7,PB,SmitJa06
11,D.J. Moore,27,CHI,WR,17,17,140,98,966,43,378,3.9,588,6.0,7.5,5,19.6,3,2.1,3,94.5,,MoorD.00
12,Travis Kelce,35,KAN,TE,16,16,133,97,823,47,482,5.0,341,3.5,6.4,3,32.3,6,4.5,4,83.6,PB,KelcTr00
13,Wan'Dale Robinson,23,NYG,WR,17,7,140,93,699,36,338,3.6,361,3.9,4.8,9,10.3,6,4.3,2,79.4,,RobiWa01
14,Jerry Jeudy,25,CLE,WR,17,16,145,90,1229,57,842,9.4,387,4.3,11.1,0,,13,9.0,3,89.7,PB,JeudJe00
15,Jonnu Smith,29,MIA,TE,17,6,111,88,884,55,374,4.3,510,5.8,4.9,8,11.0,6,5.4,0,123.9,PB,SmitJo01
16,Jakobi Meyers,28,LVR,WR,15,15,129,87,1027,52,734,8.4,293,3.4,9.6,4,21.8,1,0.8,3,92.1,,MeyeJa01
17,Brian Thomas,22,JAX,WR,17,16,133,87,1282,53,720,8.3,562,6.5,11.4,0,,7,5.3,5,106.2,PBAP ORoY-4,ThomBr06
19,Ladd McConkey,23,LAC,WR,16,14,112,82,1149,52,759,9.3,390,4.8,9.9,10,8.2,5,4.5,1,123.0,AP ORoY-9,McCoLa00
20,Terry McLaurin,29,WAS,WR,17,17,117,82,1096,56,804,9.8,292,3.6,13.4,2,41.0,4,3.4,1,133.0,PBAP-2,McLaTe00
21,Tyreek Hill,30,MIA,WR,17,17,123,81,959,54,667,8.2,292,3.6,11.4,1,81.0,2,1.6,3,95.5,,HillTy00
22,Courtland Sutton,29,DEN,WR,17,13,135,81,1081,57,902,11.1,179,2.2,13.2,1,81.0,9,6.7,6,86.7,,SuttCo00
23,Puka Nacua,23,LAR,WR,11,11,106,79,990,47,472,6.0,518,6.6,7.9,10,7.9,1,0.9,1,108.6,,NacuPu00
24,De'Von Achane,23,MIA,RB,17,16,87,78,592,30,-73,-0.9,665,8.5,-0.4,5,15.6,2,2.3,0,118.0,,AchaDe00
25,George Kittle,31,SFO,TE,15,15,94,78,1106,50,584,7.5,522,6.7,8.1,4,19.5,2,2.1,2,135.2,PBAP-2AP OPoY-11,KittGe00
26,Jauan Jennings,27,SFO,WR,15,10,113,77,975,47,737,9.6,238,3.1,9.9,5,15.4,5,4.4,3,101.5,,JennJa00
27,Khalil Shakir,24,BUF,WR,15,9,100,76,821,35,224,2.9,597,7.9,5.5,6,12.7,1,1.0,1,108.8,,ShakKh00
28,Mike Evans,31,TAM,WR,14,14,110,74,1004,53,778,10.5,226,3.1,11.6,2,37.0,4,3.6,5,110.6,PB,EvanMi00
29,Zay Flowers,24,BAL,WR,17,15,116,74,1059,48,596,8.1,463,6.3,10.0,7,10.6,6,5.2,0,104.8,PB,FlowZa00
30,Tee Higgins,25,CIN,WR,12,9,109,73,911,48,683,9.4,228,3.1,9.8,7,10.4,3,2.8,1,119.5,,HiggTe00
31,Josh Downs,23,IND,WR,14,8,107,72,803,40,407,5.7,396,5.5,6.9,3,24.0,5,4.7,3,93.3,,DownJo00
32,Keenan Allen,32,CHI,WR,15,15,121,70,744,43,504,7.2,240,3.4,9.0,1,70.0,6,5.0,0,95.2,,AlleKe00
33,Michael Pittman Jr.,27,IND,WR,16,14,111,69,808,35,549,8.0,259,3.8,11.0,3,23.0,1,0.9,4,78.2,,PittMi01
34,Nico Collins,25,HOU,WR,12,12,99,68,1006,48,641,9.4,365,5.4,10.7,2,34.0,3,3.0,5,104.2,PB,CollNi00
35,Alvin Kamara,29,NOR,RB,14,14,89,68,543,18,1,0.0,542,8.0,0.9,2,34.0,8,9.0,1,94.0,,KamaAl00
36,DeVonta Smith,26,PHI,WR,13,13,89,68,833,42,534,7.9,299,4.4,9.1,0,,2,2.2,3,120.7,,SmitDe07
37,A.J. Brown,27,PHI,WR,13,13,97,67,1079,51,726,10.8,353,5.3,12.1,9,7.4,0,0.0,2,121.5,AP-2,BrowAJ00
38,Cooper Kupp,31,LAR,WR,12,11,100,67,710,28,441,6.6,269,4.0,7.5,2,33.5,2,2.0,0,107.5,,KuppCo00
39,Demario Douglas,24,NWE,WR,17,7,87,66,621,31,262,4.0,359,5.4,5.9,2,33.0,7,8.0,2,97.0,,DougDe00
