Rk,Player,Age,Team,Pos,G,GS,Rushing Att,Rushing Yds,Rushing 1D,Rushing YBC,Rushing YBC/Att,Rushing YAC,Rushing YAC/Att,Rushing BrkTkl,Rushing Att/Br,Awards,-additional -9999
46,Cam Akers,25,2TM,RB,17,2,104,444,21,226,2.2,218,2.1,7,14.9,AP CPoY-19,AkerCa00
104,Khalil Herbert,26,2TM,RB,14,1,36,130,10,74,2.1,56,1.6,0,,,HerbKh00
252,Tim Boyle,30,2TM,QB,3,0,3,9,1,8,2.7,1,0.3,0,,,BoylTi00
253,Velus Jones Jr.,27,2TM,WR,3,0,3,11,1,6,2.0,5,1.7,0,,,JoneVe00
1,Saquon Barkley,27,PHI,RB,16,16,345,2005,82,1328,3.8,677,2.0,19,18.2,PBAP-1AP MVP-3AP OPoY-1AP CPoY-14,BarkSa00
2,Derrick Henry,30,BAL,RB,17,17,325,1921,94,1012,3.1,909,2.8,42,7.7,PBAP-2AP OPoY-4,HenrDe00
3,Kyren Williams,24,LAR,RB,16,16,316,1299,85,693,2.2,606,1.9,27,11.7,AP OPoY-11,WillKy02
4,Bijan Robinson,22,ATL,RB,17,17,304,1456,82,728,2.4,728,2.4,23,13.2,PB,RobiBi01
5,Jonathan Taylor,25,IND,RB,14,13,303,1431,71,859,2.8,572,1.9,15,20.2,PBAP CPoY-19,TaylJo02
6,Josh Jacobs,26,GNB,RB,17,17,301,1329,73,592,2.0,737,2.4,35,8.6,PBAP OPoY-11,JacoJo01
7,Najee Harris,26,PIT,RB,17,17,263,1043,50,502,1.9,541,2.1,22,12.0,,HarrNa00
8,Tony Pollard,27,TEN,RB,16,16,260,1079,53,521,2.0,558,2.1,22,11.8,,PollTo00
9,Aaron Jones,30,MIN,RB,17,17,255,1138,49,614,2.4,524,2.1,11,23.2,,JoneAa00
10,D'Andre Swift,25,CHI,RB,17,17,253,959,43,511,2.0,448,1.8,7,36.1,,SwifDA00
11,Jahmyr Gibbs,22,DET,RB,17,4,250,1412,70,813,3.3,599,2.4,21,11.9,PBAP OPoY-8,GibbJa01
12,Chuba Hubbard,25,CAR,RB,15,15,250,1195,62,656,2.6,539,2.2,14,17.9,,HubbCh01
13,Joe Mixon,28,HOU,RB,14,14,245,1016,52,549,2.2,467,1.9,19,12.9,PB,MixoJo00
14,James Conner,29,ARI,RB,16,16,236,1094,67,528,2.2,566,2.4,24,9.8,,ConnJa00
15,Rico Dowdle,26,DAL,RB,16,15,235,1079,53,570,2.4,509,2.2,11,21.4,,DowdRi01
16,Chase Brown,24,CIN,RB,16,10,229,990,49,599,2.6,391,1.7,23,10.0,,BrowCh10
17,Alvin Kamara,29,NOR,RB,14,14,228,950,52,548,2.4,402,1.8,13,17.5,,KamaAl00
18,Breece Hall,23,NYJ,RB,16,16,209,876,40,432,2.1,444,2.1,7,29.9,,HallBr03
19,James Cook,25,BUF,RB,16,16,207,1009,48,530,2.6,479,2.3,14,14.8,PB,CookJa01
20,Bucky Irving,22,TAM,RB,17,3,207,1122,52,566,2.7,556,2.7,12,17.3,AP ORoY-6,IrviBu00
21,Rhamondre Stevenson,26,NWE,RB,15,14,207,801,40,370,1.8,431,2.1,14,14.8,,StevRh00
22,De'Von Achane,23,MIA,RB,17,16,203,907,37,486,2.4,421,2.1,7,29.0,,AchaDe00
23,Kareem Hunt,29,KAN,RB,13,8,200,728,42,399,2.0,329,1.6,7,28.6,,HuntKa00
24,J.K. Dobbins,26,LAC,RB,13,11,195,905,47,416,2.1,489,2.5,24,8.1,AP CPoY-2,DobbJK00
25,Tyrone Tracy Jr.,25,NYG,RB,17,12,192,839,39,511,2.7,328,1.7,6,32.0,,TracTy00
26,Brian Robinson Jr.,25,WAS,RB,14,13,187,799,47,378,2.0,421,2.3,10,18.7,,RobiBr01
27,David Montgomery,27,DET,RB,14,14,185,775,50,347,1.9,428,2.3,19,9.7,,MontDa01
28,Tank Bigsby,23,JAX,RB,16,1,168,766,39,295,1.8,471,2.8,14,12.0,,BigsTa00
29,Jordan Mason,25,SFO,RB,12,6,153,789,37,441,2.9,348,2.3,13,11.8,,MasoJo00
30,Kenneth Walker III,24,SEA,RB,11,11,153,573,28,263,1.7,310,2.0,13,11.8,,WalkKe00
31,Travis Etienne,25,JAX,RB,15,15,150,558,31,283,1.9,275,1.8,3,50.0,,EtieTr00
32,Jalen Hurts,26,PHI,QB,15,15,150,630,62,449,3.0,181,1.2,11,13.6,,HurtJa00
33,Jayden Daniels,24,WAS,QB,17,17,148,891,55,653,4.4,238,1.6,9,16.4,PBAP MVP-7AP OPoY-17AP ORoY-1,DaniJa02
34,Rachaad White,25,TAM,RB,16,15,144,613,35,231,1.6,382,2.7,9,16.0,,WhitRa01
35,Lamar Jackson,27,BAL,QB,17,17,139,915,47,666,4.8,249,1.8,7,19.9,PBAP-1AP MVP-2AP OPoY-2,JackLa00
36,Javonte Williams,24,DEN,RB,17,11,139,513,30,258,1.9,255,1.8,4,34.8,,WillJa10
37,Tyler Allgeier,24,ATL,RB,17,0,137,644,43,288,2.1,356,2.6,7,19.6,,AllgTy00
38,Zach Charbonnet,23,SEA,RB,17,6,135,569,32,267,2.0,302,2.2,12,11.3,,CharZa00
39,Alexander Mattison,26,LVR,RB,14,7,132,420,25,209,1.6,211,1.6,7,18.9,,MattAl01
40,Antonio Gibson,26,NWE,RB,17,3,120,538,24,215,1.8,323,2.7,12,10.0,,GibsAn00
41,Jaylen Warren,26,PIT,RB,15,0,120,511,28,279,2.3,232,1.9,10,12.0,,WarrJa01
42,Ray Davis,25,BUF,RB,17,0,113,442,25,217,1.9,225,2.0,6,18.8,,DaviRa04
43,Jaleel McLaughlin,24,DEN,RB,16,5,113,496,25,302,2.7,194,1.7,8,14.1,,McLaJa00
44,Devin Singletary,27,NYG,RB,15,5,113,437,24,206,1.8,231,2.0,10,11.3,,SingDe00
45,Jerome Ford,25,CLE,RB,14,6,104,565,25,345,3.3,220,2.1,5,20.8,,FordJe00
47,Emanuel Wilson,25,GNB,RB,17,0,103,502,27,260,2.5,242,2.3,9,11.4,,WilsEm00
48,Josh Allen,28,BUF,QB,17,17,102,531,52,341,3.3,190,1.9,7,14.6,PBAP-2AP MVP-1AP OPoY-6,AlleJo02
49,Nick Chubb,29,CLE,RB,8,8,102,332,17,170,1.7,162,1.6,4,25.5,AP CPoY-8,ChubNi00
50,Gus Edwards,29,LAC,RB,11,6,101,365,17,125,1.2,240,2.4,9,11.2,,EdwaGu00
51,Braelon Allen,20,NYJ,RB,17,2,92,334,22,143,1.6,191,2.1,4,23.0,,AlleBr05
52,Bo Nix,24,DEN,QB,17,17,92,430,41,359,3.9,71,0.8,3,30.7,AP ORoY-3,NixxBo00
53,Anthony Richardson,22,IND,QB,11,11,86,499,34,363,4.2,136,1.6,9,9.6,AP CPoY-25,RichAn03
54,Raheem Mostert,32,MIA,RB,13,1,85,278,13,143,1.7,135,1.6,1,85.0,,MostRa00
55,Isaac Guerendo,24,SFO,RB,16,3,84,420,18,180,2.1,240,2.9,3,28.0,,GuerIs00
56,Tyjae Spears,23,TEN,RB,12,1,84,312,19,128,1.5,184,2.2,13,6.5,,SpeaTy00
57,Isiah Pacheco,25,KAN,RB,7,6,83,310,14,182,2.2,128,1.5,0,,,PachIs00
58,Caleb Williams,23,CHI,QB,17,17,81,489,27,385,4.8,104,1.3,5,16.2,AP ORoY-10,WillCa03
59,Kyler Murray,27,ARI,QB,17,17,78,572,27,468,6.0,104,1.3,2,39.0,AP CPoY-10,MurrKy00
60,Austin Ekeler,29,WAS,RB,12,6,77,367,19,231,3.0,136,1.8,3,25.7,AP-2,EkelAu00
61,Audric Estime,21,DEN,RB,13,1,76,310,15,134,1.8,176,2.3,3,25.3,,EstiAu00
62,Kenneth Gainwell,25,PHI,RB,17,1,75,290,12,162,2.2,128,1.7,3,25.0,,GainKe00
63,Ezekiel Elliott,29,DAL,RB,15,2,74,226,14,115,1.6,111,1.5,2,37.0,,ElliEz00
64,Zack Moss,27,CIN,RB,8,6,74,242,13,166,2.2,76,1.0,4,18.5,,MossZa00
65,D'Onta Foreman,28,CLE,RB,11,3,71,232,10,131,1.8,101,1.4,0,,,ForeDO00
