"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Bijan Robinson","RB","ATL",11,515,22.1,7.26,492,547,282,297,295,1,1,1,1,"1",24,2.47,59.4,21,3
"Jahmyr Gibbs","RB","DET",6,508,6.89,32,465,517,275,270,265,2,2,2,2,"2",24,2.6,60.7,1,3
"Jonathan Taylor","RB","IND",13,476,4.35,7.53,444,507,243,249,254,3,3,3,3,"3",27,11.3,52.5,2,6
"Christian McCaffrey","RB","SF",8,468,15.4,49.7,444,481,236,249,229,4,4,4,4,"4",30,10.4,55.4,11,9
"Ashton Jeanty","RB","LVR",13,419,5.9,1.01,403,467,186,209,214,5,5,5,5,"4",22,13.5,40.7,3,1
"Derrick Henry","RB","BAL",13,418,18.4,0.365,384,436,185,189,184,6,8,8,6,"4",32,20.5,43.1,33,10
"James Cook","RB","BUF",7,417,13.1,4.43,403,437,185,209,185,7,6,7,7,"4",26,15.4,45.8,14,4
"Saquon Barkley","RB","PHI",10,413,14,2.8,384,431,180,189,179,8,9,11,8,"5",29,16.8,47.1,16,8
"Puka Nacua","WR","LAR",11,355,22.6,11.9,343,376,179,188,179,9,10,12,1,"1",25,6.12,54.2,27,3
"Devon Achane","RB","MIA",6,410,31.9,7.56,382,438,177,187,185,10,11,6,9,"5",24,14.6,40.5,57,3
"Josh Jacobs","RB","GB",11,402,31.5,4.9,363,428,170,168,175,11,13,13,10,"5",28,32,33,67,7
"Ja'Marr Chase","WR","CIN",6,343,11.3,15.4,331,367,168,176,170,12,12,14,2,"1",26,4.37,61.3,3,5
"Omarion Hampton","RB","LAC",7,398,42.3,1,362,432,165,168,180,13,14,9,11,"5",23,23.9,38,75,1
"Chase Brown","RB","CIN",6,397,13.2,10.2,385,432,164,190,180,14,7,10,12,"6",26,21.6,38.6,10,3
"Kenneth Walker III","RB","KC",5,386,35.4,13.2,349,417,154,154,164,15,18,15,13,"7",25,27.8,38,68,4
"Jaxon Smith-Njigba","WR","SEA",11,327,6,8.36,313,341,152,158,144,16,16,22,3,"2",24,12.9,50.8,2,3
"Trey McBride","TE","ARI",14,264,21.1,20.1,245,293,149,152,158,17,19,17,1,"1",26,24.6,34.5,23,4
"Amon-Ra St. Brown","WR","DET",6,319,2.25,40.3,315,322,144,161,125,18,15,26,4,"3",26,11.2,52,1,5
"Breece Hall","RB","NYJ",13,373,15.9,1.47,337,401,141,142,149,19,22,20,14,"7",25,36.4,26,17,4
