"Row","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","return_yds","return_yds_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","birthdate","draft_year","injury_status","injury_details","season_year","week"
"1","Joe Burrow","CIN","QB","14777","robust",4623.5,190.5141,37.5,3.7065,10.3,1.4826,50.4478162323089,4.29954,191.25,18.45837,2,0.37065,3.78125,0.0185324999999999,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"2","Tua Tagovailoa","MIA","QB","14778","robust",4071.85,400.59852,26.725,2.89107,11,1.4826,29.4913109951977,6.21109957845092,88.85,17.0499,0.725,0.22239,3.325,0.2038575,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"3","Brock Purdy","SF","QB","15698","robust",4173.1,243.44292,27.575,1.4826,12.425,1.40847,62.8,3.85476,274,27.57636,3.2,0.29652,2.6625,0.0370650000000002,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-27,2022,NA,NA,NA,NA
"4","Jared Goff","DET","QB","12611","robust",4374,64.4931,31,3.7065,11.5,0.7413,33.425,0.963689999999998,61.25,10.30407,0.5,0.29652,2.6,0.0741300000000001,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-10-14,2016,NA,NA,NA,NA
"5","Matthew Stafford","LAR","QB","9431","robust",4079,221.6487,26.25,2.59455,10,2.9652,27.0114615477735,7.37901421854205,49.85,16.3086,0.5,0.66717,2.4,0.29652,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-02-07,2009,"Q","Back",2025,0
"6","Baker Mayfield","TB","QB","13590","robust",4225.5,106.0059,33.75,2.9652,14.075,1.03782,61,2.07564,282.25,48.1845,2.3,0.0741300000000001,3.6625,0.0370650000000002,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-04-14,2018,NA,NA,NA,NA
"7","Dak Prescott","DAL","QB","12620","robust",4174.575,241.6638,28.65,2.2239,12,1.40847,39.9272523731637,6.52344,163.75,39.2889,1.95,0,2.5,0.37065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-29,2016,NA,NA,NA,NA
"8","C.J. Stroud","HOU","QB","16150","robust",4010.5,149.7426,25.225,2.2239,10.55,0.59304,51,6.17297669801815,235.275,31.1346,1.5,0.7413,3.55,0.0370649999999999,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-10-03,2023,NA,NA,NA,NA
"9","Patrick Mahomes","KC","QB","13116","robust",4231.5,54.1149,31,1.4826,12,0,69.2330180450762,4.05337489273995,342.25,13.3434,2.45,0.14826,2.05625,0.0555975000000001,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA
"10","Trevor Lawrence","JAC","QB","15237","robust",3987,186.0663,24.575,2.2239,13,0.889559999999999,54.8325792783042,0.837904076027512,248,16.3086,3.5,0.7413,3.94375,0.0555975000000001,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2021,NA,NA,NA,NA
