"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","return_yds","return_yds_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","draft_year","birthdate","injury_status","injury_details","season_year","week"
"Jared Goff","DET","QB","12611","robust",4409,259.455,34,2.9652,10,0,26,4.4478,51,2.9652,0,0,3.25,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1994-10-14,NA,NA,NA,NA
"Dak Prescott","DAL","QB","12620","robust",4335.75,55.1527199999997,31.725,1.33434,11.275,0.444780000000001,48,2.81694,173.225,18.23598,1.75,0.44478,2.4,0.59304,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1993-07-29,NA,NA,NA,NA
"Joe Burrow","CIN","QB","14777","robust",4194.45,69.3856800000003,33.825,0.444779999999996,10.8,1.4826,49.9,5.48562,179.8,10.52646,1.4,0.59304,1.8125,0.259455,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1996-12-10,NA,NA,NA,NA
"Matthew Stafford","LAR","QB","9431","robust",4272.5,59.304,35,1.4826,9,1.4826,27,4.4478,38.5,1.4826,0,0,1.85,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,1988-02-07,NA,NA,NA,NA
"Matthew Stafford","LAR","QB","9431","robust",4272.5,59.304,35,1.4826,9,1.4826,27,4.4478,38.5,1.4826,0,0,1.85,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2003-05-23,NA,NA,NA,NA
"Justin Herbert","LAC","QB","14779","robust",3918,106.7472,28,2.9652,10.75,2.9652,79,5.9304,444,81.543,2.15,0,2.35,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-03-10,NA,NA,NA,NA
"Josh Allen","BUF","QB","13589","robust",3814,154.1904,28.1,2.07564,10.5,2.66868,115.025,4.4478,574.5,17.7912,12,0.296519999999999,3.925,0.222390000000001,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1996-05-21,NA,NA,NA,NA
"Brock Purdy","SF","QB","15698","robust",4145.95,23.5733399999995,28.35,1.92738,14.15,1.03782,67.75,4.89258,295.05,14.826,3.85,1.03782,4.2125,0.259455,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1999-12-27,NA,NA,NA,NA
"Drake Maye","NE","QB","16580","robust",4071.925,46.4053800000003,28.575,1.03782,10.4,0.889559999999999,98.15,5.48562,510.25,31.8759,3.95,0.44478,5.95,0.0741300000000011,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2002-08-30,NA,NA,NA,NA
"Sam Darnold","SEA","QB","13592","robust",4065.5,35.5824,29,4.4478,12,1.4826,41.1,4.29954,135,28.1694,0.5,0,4.6,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1997-06-05,NA,NA,NA,NA
