"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Bijan Robinson","RB","ATL",302,18.9,3.4,282,334,170,177,173,1,2,1,1,"1",3.33,59.9,11
"Saquon Barkley","RB","PHI",299,9.29,7.8,284,312,166,179,150,2,1,2,2,"1",4.95,55.8,1
"Jahmyr Gibbs","RB","DET",291,11.3,25.5,274,306,158,169,145,3,3,3,3,"2",6.21,53.3,1
"Ja'Marr Chase","WR","CIN",299,22.4,34.5,273,329,136,134,130,4,6,5,1,"1",3.05,61.2,14
"Derrick Henry","RB","BAL",266,18.7,4.93,240,294,133,135,132,5,4,4,4,"3",10.3,47.9,15
"Christian McCaffrey","RB","SF",261,18.9,5.64,240,290,128,135,129,6,5,6,5,"3",9.8,56.4,20
"Devon Achane","RB","MIA",255,15.8,2.07,233,275,122,128,114,7,7,8,6,"3",19.6,36,10
"Josh Jacobs","RB","GB",253,18.1,6.43,229,280,120,124,119,8,8,7,7,"3",18.1,37.9,17
"Ashton Jeanty","RB","LVR",247,20.5,2.14,209,274,114,104,112,9,12,9,8,"4",11.6,50,24
"Jonathan Taylor","RB","IND",245,16.6,2.58,224,267,112,119,106,10,9,12,9,"4",16.4,44.9,13
"Bucky Irving","RB","TB",242,19.4,2.23,214,265,109,109,104,11,11,13,10,"4",34.8,27.8,21
"Kyren Williams","RB","LAR",240,17.2,4.63,215,260,107,110,98.2,12,10,15,11,"4",21,36.6,14
"Chase Brown","RB","CIN",235,24.2,12.8,198,267,102,93.5,106,13,15,11,12,"5",36.6,28.9,44
"Justin Jefferson","WR","MIN",264,24.8,8.88,234,311,101,94.6,112,14,14,10,2,"1",7.14,55.8,36
"CeeDee Lamb","WR","DAL",255,18.2,7.8,223,276,92.3,83.6,77.8,15,20,21,3,"1",7.06,56.8,4
"James Cook","RB","BUF",222,20.7,6.59,202,251,89.4,96.8,89.3,16,13,16,13,"5",29.8,26.7,30
"Josh Allen","QB","BUF",374,20.2,2.36,343,399,87.3,74.2,86.3,17,27,18,1,"1",18.1,35.9,6
"Brock Bowers","TE","LVR",204,8.35,7.22,194,215,86.3,87.9,72.2,18,16,30,1,"1",39.6,24.7,3
"Lamar Jackson","QB","BAL",372,19.2,16.4,347,401,84.9,78.2,88.5,19,24,17,2,"2",19.9,31.1,9
"Puka Nacua","WR","LAR",247,19.2,3.76,223,274,84.5,84.1,75.2,20,19,26,4,"2",16.2,43.2,21
"Alvin Kamara","RB","NO",216,20.7,5.84,192,244,82.8,87.2,82.7,21,17,20,14,"5",40.4,25.2,34
"Malik Nabers","WR","NYG",244,31.2,0.352,204,298,80.8,65.2,99.1,22,33,14,5,"2",20.1,36.5,67
"Amon-Ra St. Brown","WR","DET",243,17.9,4.82,222,264,80.4,82.7,65.5,23,21,32,6,"2",13.7,51,12
"Trey McBride","TE","ARI",196,7.1,7.87,188,206,79.1,81.5,63.3,24,22,35,2,"1",38.5,24.4,1
"Breece Hall","RB","NYJ",210,20.9,3.05,191,247,77,86.1,85.8,25,18,19,15,"6",35.6,32.9,37
"Brian Thomas Jr.","WR","JAC",238,22.4,1.6,205,271,75.6,65.6,72.9,26,32,29,7,"2",31.6,29.4,28
"Nico Collins","WR","HOU",237,15.7,9.77,219,263,74,80,64.2,27,23,33,8,"2",18,38.7,6
"Omarion Hampton","RB","LAC",207,25.1,1.58,172,238,73.9,67,77,28,29,23,16,"6",37.4,31.3,52
"Chuba Hubbard","RB","CAR",205,21.4,1.24,182,239,72.3,77.4,77.7,29,25,22,17,"6",56,17.8,35
"George Kittle","TE","SF",188,15.5,31.2,172,213,71.2,66,69.9,30,30,31,3,"2",42,20.1,26
"James Conner","RB","ARI",204,15.2,3.88,180,225,71.1,74.7,63.5,31,26,34,18,"6",47.3,21.4,8
"Jayden Daniels","QB","WAS",355,20.4,4.95,332,386,68.6,63.1,73.3,32,35,28,3,"2",36.5,21.4,11
"Kenneth Walker III","RB","SEA",200,16.9,4.91,169,216,67.2,63.6,54.8,33,34,36,19,"6",41,22.3,18
"Drake London","WR","ATL",227,23.8,6.22,205,274,64.2,66,75.7,34,31,25,9,"3",24.1,35.4,42
"Jalen Hurts","QB","PHI",350,10.8,10.5,336,366,63.6,67.3,53.8,35,28,37,4,"3",30.3,27,1
"TreVeyon Henderson","RB","NE",195,28.5,3.53,153,236,62.3,47.9,74.4,36,46,27,20,"6",48.3,25.9,66
"D'Andre Swift","RB","CHI",192,25.8,10.5,163,238,58.8,57.8,76.2,37,38,24,21,"7",59.7,15.9,54
"A.J. Brown","WR","PHI",221,14.8,2.93,198,241,58,58.7,42.5,38,37,42,10,"3",21.5,40.9,1
"Tyreek Hill","WR","MIA",218,11.9,1.06,201,238,55.1,61.9,39.2,39,36,44,11,"3",31.2,42.2,7
"Ladd McConkey","WR","LAC",217,16.8,7.87,197,244,54,57.7,45.9,40,39,40,12,"3",44.2,22.2,8
"Joe Burrow","QB","CIN",340,17.5,23.4,314,360,53.1,44.9,47.3,41,48,39,5,"4",32.4,22.9,3
"Aaron Jones","RB","MIN",181,11.2,3.61,159,191,48.3,54.3,29.7,42,41,52,22,"7",65.8,13.6,3
"Tee Higgins","WR","CIN",209,20.6,1.62,173,232,46.1,34.4,33,43,56,48,13,"4",38.5,23.2,33
"David Montgomery","RB","DET",178,12.9,0.331,160,194,44.7,55.1,33,44,40,49,23,"7",59.5,14.3,4
"Jaxon Smith-Njigba","WR","SEA",207,19.3,0.789,180,238,44.5,40.8,39.4,45,50,43,14,"4",51.2,18.6,32
"RJ Harvey","RB","DEN",177,17,0.537,157,204,44.3,51.8,43.1,46,43,41,24,"7",64,17.7,27
"Tony Pollard","RB","TEN",177,13.7,3.81,152,191,43.8,46.6,29.9,47,47,50,25,"7",72.8,13.1,6
"Mike Evans","WR","TB",207,12.2,1.57,193,223,43.7,54.1,24,48,42,55,15,"4",36.8,27.9,3
"Davante Adams","WR","LAR",205,21.9,3.95,182,238,42.2,42.7,39.1,49,49,46,16,"4",38.5,29.3,44
"Tyrone Tracy","RB","NYG",173,19.1,8.09,145,200,40,39.7,39.2,51,52,45,26,"8",85.3,9.18,32
"Sam LaPorta","TE","DET",157,10.8,9.78,144,173,40,38,29.9,50,54,51,4,"2",54.6,15,14
