"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Jahmyr Gibbs","RB","DET",6,333,16.5,0.594,309,351,197,197,190,1,2,2,1,"1",24,2.6,60.7,17,3
"Bijan Robinson","RB","ATL",11,332,22.2,37.2,309,361,196,197,200,2,1,1,2,"2",24,2.47,59.4,42,3
"Christian McCaffrey","RB","SF",8,295,12.4,2.02,281,305,159,168,145,3,3,4,3,"2",30,10.4,55.4,4,9
"Jonathan Taylor","RB","IND",13,293,18.9,28.8,266,314,157,154,153,4,4,3,4,"3",27,11.3,52.5,32,6
"Puka Nacua","WR","LAR",11,295,11,9.39,280,309,137,143,126,5,5,7,1,"1",25,6.12,54.2,4,3
"Devon Achane","RB","MIA",6,264,22.4,1.89,238,292,128,126,131,6,9,5,5,"3",24,14.6,40.5,55,3
"Ja'Marr Chase","WR","CIN",6,285,14.1,14.9,271,302,127,134,119,7,7,10,2,"1",26,4.37,61.3,16,5
"James Cook","RB","BUF",7,262,14.3,6.73,247,282,126,134,122,8,6,8,6,"4",26,15.4,45.8,14,4
"Derrick Henry","RB","BAL",13,255,16.1,1.08,242,280,119,129,119,9,8,9,7,"4",32,20.5,43.1,25,10
"Ashton Jeanty","RB","LVR",13,254,23.7,4.43,235,291,118,123,130,10,11,6,8,"4",22,13.5,40.7,66,1
"Chase Brown","RB","CIN",6,250,17.1,5.91,236,270,114,124,110,11,10,11,9,"4",26,21.6,38.6,31,3
"Jaxon Smith-Njigba","WR","SEA",11,270,12.2,11.4,254,284,112,118,101,12,13,13,3,"2",24,12.9,50.8,8,3
"Saquon Barkley","RB","PHI",10,244,12.8,4.57,227,259,108,114,98.7,13,14,14,10,"5",29,16.8,47.1,13,8
"Omarion Hampton","RB","LAC",7,240,19.3,1.44,218,263,103,106,102,14,16,12,11,"5",23,23.9,38,44,1
"Josh Jacobs","RB","GB",11,238,17.5,8.16,219,257,102,107,96,15,15,15,12,"5",28,32,33,39,7
"Amon-Ra St. Brown","WR","DET",6,259,2.53,29.5,257,262,101,120,79.5,16,12,24,4,"3",26,11.2,52,1,5
"Kenneth Walker III","RB","KC",5,230,22.7,3.38,204,253,93.8,91.8,91.8,17,18,16,13,"6",25,27.8,38,65,4
"Kyren Williams","RB","LAR",11,227,8.44,0.55,215,238,90.4,103,76.9,18,17,28,14,"6",25,31,35.3,1,4
"Jeremiyah Love","RB","ARI",14,226,22.4,0.977,197,250,89.9,84.5,88.9,19,22,19,15,"6",21,24.7,49,61,0
"Breece Hall","RB","NYJ",13,225,20,4.09,197,248,88.9,84.3,86.9,20,23,20,16,"6",25,36.4,26,41,4
"Cam Skattebo","RB","NYG",8,221,14.2,0.296,202,239,84.8,89.6,78.6,21,19,26,17,"6",24,50.2,19.6,20,1
"Javonte Williams","RB","DAL",14,221,23.5,6.57,200,251,84.5,87.4,89.8,22,21,18,18,"6",26,53.9,30,62,5
"Trey McBride","TE","ARI",14,213,19.1,17.7,189,234,79.4,72.7,86.9,23,26,21,1,"1",26,24.6,34.5,31,4
"Travis Etienne","RB","NO",8,214,16.6,4.21,201,240,77.9,88.9,79.4,24,20,25,19,"7",27,60.2,25.9,35,5
