"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_miss","fg_miss_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","birthdate","draft_year","injury_status","injury_details","season_year","week"
"Joe Burrow","CIN","QB","14777","weighted",4651.16054524801,183.554631542713,37.7623248769406,3.60985000294558,10.3968496781522,1.45539438553477,188.324399848542,20.048569381632,2.04472548277168,0.691897723334343,3.77276599772813,0.363529492202325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"Brock Purdy","SF","QB","15698","weighted",4211.47059447179,248.871213161692,27.8779174555093,2.4238479260429,12.3142446043165,0.941408213805093,276.528156001515,23.8413176654384,3.25790988262022,0.735807498993763,2.62080651268459,0.278982830446839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-27,2022,NA,NA,NA,NA
"Tua Tagovailoa","MIA","QB","14778","weighted",4077.42362741386,356.452259953339,26.6423400227187,2.72061924984418,11.2743203332071,1.13091086170468,88.9148049981068,27.820768252406,0.652517985611511,0.447569313824634,3.62080651268459,0.278982830446839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"Jared Goff","DET","QB","12611","weighted",4380.03584248391,122.997603803127,31.8659825823552,4.28656903756949,11.7399924271109,1.03050607425467,74.989928057554,49.023565903517,0.582915562287013,0.509259532741524,2.55929572131768,0.275597520032662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-10-14,2016,NA,NA,NA,NA
"Matthew Stafford","LAR","QB","9431","weighted",3998.38686103749,263.883198201476,26.2070579326013,2.41182195070041,9.93652404392276,2.20374560037928,73.5554714123438,59.5942787425827,0.602211283604695,0.67784111256804,1.99392275653162,0.120335217661344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-02-07,2009,NA,NA,NA,NA
"Baker Mayfield","TB","QB","13590","weighted",4192.3711397198,121.252750559284,33.4051268458917,3.00664080599566,14.5628019689512,1.65388564193213,283.75831124574,35.8371915028845,2.35133661491859,0.467008565731279,3.61512684589171,0.281716432603377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-04-14,2018,NA,NA,NA,NA
"Joe Flacco","CLE","QB","9064","weighted",2434.61706171905,1080.57413341628,14.716160545248,8.27427863704844,10.8765846270352,6.2675609177439,46.0492237788716,48.8775019994934,0.416478606588413,0.470054397363396,4.28812003029156,0.825151162937699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-01-16,2008,NA,NA,NA,NA
"Dak Prescott","DAL","QB","12620","weighted",4196.47847027641,174.666332315809,28.6012343809163,2.70252191210705,12.1282241575161,1.48536735468379,172.044460431655,30.6631647459711,1.75275274517228,0.407859823688382,2.46316736084816,0.307279274632514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-29,2016,NA,NA,NA,NA
"C.J. Stroud","HOU","QB","16150","weighted",4038.08424839076,166.866985285351,25.4322605073836,3.00884369814262,10.8099053388868,0.55262030569764,251.039462324877,58.0864836038736,1.94153729647861,1.14409783920756,3.5339076107535,0.270795495873747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-10-03,2023,NA,NA,NA,NA
"Patrick Mahomes","KC","QB","13116","weighted",4191.36788337751,244.088906581801,31.4563120030292,2.7632678723983,11.828337750852,0.670635274263689,357.513775085195,51.6190349913671,2.50271109428247,0.689278831763094,2.04975388110564,0.0754446923489083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA
