"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_miss","fg_miss_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","draft_year","birthdate","injury_status","injury_details","season_year","week"
"Jared Goff","DET","QB","12611","weighted",4390.96547688707,174.111220584408,33.5349912229374,3.1367935856416,9.84517261556466,0.4702687289887,77.4967817437098,65.6303503180296,0.192510239906378,0.440989337712457,3.25746050321826,0.525568611170197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1994-10-14,NA,NA,NA,NA
"Dak Prescott","DAL","QB","12620","weighted",4371.38502047981,180.436390619395,32.4077238150965,2.64437373509486,11.2102984201287,0.851077781497555,172.48156816852,13.2287104476806,1.68256290228204,0.45958402455918,2.24294909303686,0.218479415453748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1993-07-29,NA,NA,NA,NA
"Joe Burrow","CIN","QB","14777","weighted",4229.47045055588,125.998469741671,35.8105324751317,4.03674878903191,10.9976594499707,1.7391670261122,179.565242832066,10.2285523479914,1.38560561732007,0.544412331465575,1.65081919251024,0.398920639894096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1996-12-10,NA,NA,NA,NA
"Matthew Stafford","LAR","QB","9431","weighted",4238.55061439438,110.92863323208,35.254476301931,2.56285840128033,9.13434757167935,1.41459394887171,64.4932709186659,70.8414085735896,0.192510239906378,0.440989337712457,1.85149210064365,0.105113722234039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,1988-02-07,NA,NA,NA,NA
"Matthew Stafford","LAR","QB","9431","weighted",4238.55061439438,110.92863323208,35.254476301931,2.56285840128033,9.13434757167935,1.41459394887171,64.4932709186659,70.8414085735896,0.192510239906378,0.440989337712457,1.85149210064365,0.105113722234039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2003-05-23,NA,NA,NA,NA
"Justin Herbert","LAC","QB","14779","weighted",3953.93797542422,195.750764858823,28.0229373902867,2.96078601527081,10.5380339379754,1.78958378701664,444.665301345816,69.1889343424474,2.25049736688122,0.429662397811798,2.34651843183148,0.245265351879425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-03-10,NA,NA,NA,NA
"Josh Allen","BUF","QB","13589","weighted",3853.80222352253,245.119980080984,28.3602691632534,2.33664000964577,10.3444119368051,1.98619613429514,562.988882387361,35.6411134234737,12.144880046811,0.787603851840084,3.75582211819778,0.309360708975253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1996-05-21,NA,NA,NA,NA
"Brock Purdy","SF","QB","15698","weighted",4061.80280866003,204.024599062234,29.4329432416618,3.77133075953885,13.9859566998245,1.57800098135706,298.305441778818,29.254705792064,3.88209479227618,0.901814292277574,4.06673493270919,0.740104440059478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1999-12-27,NA,NA,NA,NA
"Drake Maye","NE","QB","16580","weighted",4071.87302516091,77.3547628924655,29.3977179637215,2.68943333522682,10.1702750146284,1.10215762678118,505.197191339965,48.3033015415788,4.00959625511995,0.726954038692131,6.08443534230544,0.281343378331111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2002-08-30,NA,NA,NA,NA
"Sam Darnold","SEA","QB","13592","weighted",4038.24107665301,134.990677798227,29.1814511410181,4.49928444480531,11.9064365125805,1.5044306914542,133.771796372147,25.0626089273099,0.607372732592159,0.54619853863437,4.61392627267408,0.9810614075177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1997-06-05,NA,NA,NA,NA
"Baker Mayfield","TB","QB","13590","weighted",3907.5599765945,144.111773834706,28.3874780573435,4.04366653608203,12.1694558221182,1.4459602728225,359.517846693973,29.5108159833196,1.49005266237566,0.50278156520109,3.09900526623757,0.0700758148226929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1995-04-14,NA,NA,NA,NA
"Trevor Lawrence","JAC","QB","15237","weighted",3896.89818607373,156.245012641541,28.733996489175,3.69383137656146,12.3623756582797,1.69242047173013,314.772966647162,29.0626717016498,5.65096547688707,1.31786036970469,2.8469280280866,0.351972296533741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1999-10-06,NA,NA,NA,NA
"Caleb Williams","CHI","QB","16579","weighted",3886.41661790521,114.024278488773,29.6059098888239,4.69466885716467,9.32334698654184,1.28701783476559,417.479812755998,28.8238261360704,2.27138677589233,0.979949854598854,2.19801053247513,0.140151629645386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2001-11-18,NA,NA,NA,NA
